Gender,Class,Age,Religion,Hours Spent_a_Week_at_Church,Prayers_a_Day,Meditation,Hours_Spent_with_Other_Spiritual_Affairs
M,Freshmen,18,Christian,0,0,0,0
M,Sophomore,20,Christian,4,2,0,2
M,Senior,23,Christian,0,2,0,0
F,Freshmen,17,Christian,4,1,0,1
M,Junior,21,Christian,6,3,0,2
F,Sophomore,19,Christian,2,0,0,0
F,Freshmen,18,Christian,2,1,0,1
F,Junior,20,Muslim,8,5,5,0
M,Junior,21,Christian,2,0,0,1
F,Senior,22,Christian,0,0,0,0
M,Sophomore,20,Christian,0,0,0,0
F,Senior,22,Christian,0,0,0,0
M,Freshmen,17,Christian,4,3,0,0
M,Freshmen,18,Christian,0,2,0,0
F,Senior,23,Christian,0,2,0,0
M,Senior,22,Christian,6,0,0,3
M,Junior,20,Buddhist,0,2,5,0
M,Senior,22,Mormen,8,4,0,3
M,Junior,21,Christian,4,2,0,0
F,Sophomore,20,Christian,4,0,0,1
F,Freshmen,19,Christian,3,2,0,4
M,Freshmen,18,Atheist,0,0,0,2
F,Sophomore,19,Christian,5,1,1,0
F,Junior,20,Muslim,7,5,5,0
F,Freshmen,18,Christian,0,0,0,0
M,Senior,22,Christian,0,0,0,2
F,Freshmen,17,Christian,0,3,0,1
F,Freshmen,18,Christian,0,0,0,0
F,Sophomore,20,Christian,2,3,0,0
M,Senior,22,Christian,4,3,0,2
M,Freshmen,18,Buddhist,0,0,5,0
M,Senior,23,Christian,6,2,1,0
M,Sophomore,20,Christian,2,2,0,0
F,Sophomore,20,Christian,1,0,0,0
F,Freshmen,18,Christian,1,1,0,1
M,Junior,21,Christian,0,3,0,0
F,Sophomore,20,Christian,0,2,0,0
F,Junior,22,Christian,0,0,0,0
M,Freshmen,19,Christian,1,1,0,1
M,Freshmen,18,Christian,3,3,0,0
F,Freshmen,18,Christian,4,2,0,4
F,Sophomore,20,Atheist,0,0,0,0
F,Junior,21,Mormen,6,4,0,1
M,Senior,23,Christian,4,3,0,0
M,Sophomore,19,Christian,3,0,0,0
M,Senior,22,Christian,5,0,0,2
F,Freshmen,18,Christian,0,1,0,0
M,Junior,22,Christian,0,2,0,0
M,Sophomore,19,Christian,0,0,0,0
F,Freshmen,18,Christian,6,3,0,2
